Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
9475,37.0,39.029124165356905,1.0,27.070925825663238,1.0,13.430029546065,0.0,0.0,5.0,15.086141870078146,13.0,54.4799262425614,17.0,204.00816032641305,0.0,0.0
9476,13.0,19.477698035749068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.12694482274772,7.0,42.68292682926829,5.0,92.86775631500743,0.0,0.0
9477,36.0,50.303216611239975,0.0,0.0,0.0,0.0,3.0,20.828993959591752,12.0,46.81282671451978,16.0,91.01251422070534,5.0,90.09009009009009,0.0,0.0
9478,9.0,13.477896250149755,0.0,0.0,0.0,0.0,1.0,7.113893433876361,0.0,0.0,8.0,51.13781641523907,0.0,0.0,0.0,0.0
9479,29.0,39.91466519854105,0.0,0.0,0.0,0.0,4.0,28.202777973630404,8.0,32.295829800976946,9.0,48.033303090142496,8.0,127.6527844263603,,
9561,25.0,59.8114742332169,0.0,0.0,0.0,0.0,6.0,59.61251862891207,8.0,56.882821387940844,5.0,56.047528304001794,6.0,207.7562326869806,0.0,0.0
9562,31.0,27.548698990473483,1.0,18.51851851851852,0.0,0.0,4.0,11.294011350481407,6.0,16.521188424153976,10.0,52.10775884529206,10.0,149.45449110745778,0.0,0.0
9563,44.0,34.242044561351626,4.0,59.790732436472354,0.0,0.0,4.0,12.557686874077795,12.0,25.35122002746382,13.0,52.37922559329546,11.0,158.20509132748455,0.0,0.0
9564,189.0,36.46044331269171,7.0,27.24159402241594,1.0,2.264031334193665,22.0,16.056518946692357,50.0,28.21431594390994,51.0,50.60678527838694,58.0,173.1498343135206,0.0,0.0
9565,7.0,17.08108635709231,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.616557734204793,4.0,45.27960153950645,1.0,36.52300949598247,0.0,0.0
9571,33.0,17.877361301471904,1.0,10.931351114997813,0.0,0.0,0.0,0.0,4.0,6.084020320627871,16.0,41.14168166623811,12.0,100.91665965856531,0.0,0.0
9572,54.0,39.340822660313854,4.0,56.91519635742743,0.0,0.0,2.0,7.020746305332257,10.0,19.984412158516356,19.0,62.828610165007774,19.0,236.96682464454977,0.0,0.0
9573,35.0,29.69801362714568,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.118975903614459,13.0,47.70117051333798,16.0,193.6108422071636,0.0,0.0
9574,53.0,31.031898449576094,6.0,74.28500680945896,0.0,0.0,4.0,11.386603660793076,10.0,16.167103178452486,14.0,36.008230452674894,19.0,162.93628333762112,0.0,0.0
9575,52.0,51.47801294870018,1.0,20.546537908362442,0.0,0.0,5.0,22.4346031318706,8.0,22.16434864520419,23.0,103.86560693641619,15.0,228.6933983839,,
9576,47.0,37.081160403632374,2.0,32.325844512687894,0.0,0.0,7.0,25.68807339449541,7.0,15.223348266713062,14.0,50.319890733951546,17.0,210.99664887675314,0.0,0.0
